REF_DATE;GEO;DGUID;Month of birth;Characteristics;UOM;UOM_ID;SCALAR_FACTOR;SCALAR_ID;VECTOR;COORDINATE;VALUE;STATUS;SYMBOL;TERMINATED;DECIMALS
2006;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;30431;;;;0
2007;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;31805;;;;0
2008;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;31996;;;;0
2009;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;32562;;;;0
2010;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;31947;;;;0
2011;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;32506;;;;0
2012;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;31760;;;;0
2013;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;31735;;;;0
2014;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;32205;;;;0
2015;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;32546;;;;0
2016;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;32409;;;;0
2017;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;32176;;;;0
2018;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;31773;;;;0
2019;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;31596;;;;0
2020;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;30386;;;;0
2021;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;32242;;;;0
1991;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;35436;;;;0
1992;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;35260;;;;0
1993;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;34008;;;;0
1994;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;33758;;;;0
1995;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;33339;;;;0
1996;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;32493;;;;0
1997;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;31114;;;;0
1998;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;30329;;;;0
1999;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;30227;;;;0
2000;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;28606;;;;0
2001;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;29169;;;;0
2002;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;29099;;;;0
2003;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;30400;;;;0
2004;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;29655;;;;0
2005;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;30464;;;;0
2006;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;31155;;;;0
2007;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;32613;;;;0
2008;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;34205;;;;0
2009;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;34623;;;;0
2010;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;32896;;;;0
2011;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;33823;;;;0
2012;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;33632;;;;0
2013;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;34087;;;;0
2014;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;34874;;;;0
2015;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;34697;;;;0
2016;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;34233;;;;0
2017;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;33595;;;;0
2018;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;33270;;;;0
2019;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;33965;;;;0
2020;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;32404;;;;0
2021;Canada, place of residence of mother;2016A000011124;Month of birth, July;Number of live births;Number;223;units;0;v21400550;01.08.2001;33447;;;;0
1991;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;34421;;;;0
1992;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;32970;;;;0
1993;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;32768;;;;0
1994;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;33019;;;;0
1995;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;32814;;;;0
1996;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;31334;;;;0
1997;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;29321;;;;0
1998;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;28998;;;;0
1999;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;28444;;;;0
2000;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;27802;;;;0
2001;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;28874;;;;0
2002;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;28798;;;;0
2003;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;29093;;;;0
2004;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;29257;;;;0
2005;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;30353;;;;0
2006;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;32134;;;;0
2007;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;33191;;;;0
2008;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;33249;;;;0
2009;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;33558;;;;0
2010;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;32896;;;;0
2011;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;33677;;;;0
2012;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;34548;;;;0
2013;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;33832;;;;0
2014;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;33848;;;;0
2015;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;33521;;;;0
2016;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;34429;;;;0
2017;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;33735;;;;0
2018;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;33626;;;;0
2019;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;33454;;;;0
2020;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;31415;;;;0
2021;Canada, place of residence of mother;2016A000011124;Month of birth, August;Number of live births;Number;223;units;0;v21400552;01.09.2001;32744;;;;0
1991;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;34410;;;;0
1992;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;33709;;;;0
1993;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;33224;;;;0
1994;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;32711;;;;0
1995;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;32608;;;;0
1996;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;30928;;;;0
1997;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;29322;;;;0
1998;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;29703;;;;0
1999;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;29254;;;;0
2000;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;26954;;;;0
2001;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;28327;;;;0
2002;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;28997;;;;0
2003;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;29662;;;;0
2004;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;29588;;;;0
2005;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;30398;;;;0
2006;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;31903;;;;0
2007;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;32301;;;;0
2008;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;34108;;;;0
2009;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;34105;;;;0
2010;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;33554;;;;0
2011;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;33569;;;;0
2012;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;33351;;;;0
2013;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;33126;;;;0
2014;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;33892;;;;0
2015;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;33688;;;;0
2016;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;34093;;;;0
2017;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;32875;;;;0
2018;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;32394;;;;0
2019;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;32446;;;;0
2020;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;31048;;;;0
2021;Canada, place of residence of mother;2016A000011124;Month of birth, September;Number of live births;Number;223;units;0;v21400554;01.10.2001;32542;;;;0
1991;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;33092;;;;0
1992;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;32188;;;;0
1993;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;31336;;;;0
1994;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;31037;;;;0
1995;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;30807;;;;0
1996;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;29944;;;;0
1997;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;28336;;;;0
1998;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;27940;;;;0
1999;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;27257;;;;0
2000;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;25899;;;;0
2001;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;27713;;;;0
2002;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;27968;;;;0
2003;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;28947;;;;0
2004;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;28283;;;;0
2005;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;28956;;;;0
2006;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;30695;;;;0
2007;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;31974;;;;0
2008;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;32856;;;;0
2009;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;33101;;;;0
2010;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;32692;;;;0
2011;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;32040;;;;0
2012;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;33071;;;;0
2013;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;32687;;;;0
2014;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;32880;;;;0
2015;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;32510;;;;0
2016;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;32140;;;;0
2017;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;31984;;;;0
2018;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;31730;;;;0
2019;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;31667;;;;0
2020;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;30084;;;;0
2021;Canada, place of residence of mother;2016A000011124;Month of birth, October;Number of live births;Number;223;units;0;v21400556;01.11.2001;31006;;;;0
1991;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;30766;;;;0
1992;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;30165;;;;0
1993;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;29582;;;;0
1994;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;29982;;;;0
1995;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;28770;;;;0
1996;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;27384;;;;0
1997;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;26334;;;;0
1998;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;25461;;;;0
1999;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;25708;;;;0
2000;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;24968;;;;0
2001;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;25892;;;;0
2002;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;25921;;;;0
2003;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;26206;;;;0
2004;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;26871;;;;0
2005;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;27163;;;;0
2006;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;28742;;;;0
2007;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;29925;;;;0
2008;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;29721;;;;0
2009;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;30242;;;;0
2010;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;30308;;;;0
2011;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;30527;;;;0
2012;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;31160;;;;0
2013;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;30045;;;;0
2014;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;30432;;;;0
2015;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;30387;;;;0
2016;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;30246;;;;0
2017;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;30410;;;;0
2018;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;29923;;;;0
2019;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;29558;;;;0
2020;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;27750;;;;0
2021;Canada, place of residence of mother;2016A000011124;Month of birth, November;Number of live births;Number;223;units;0;v21400558;01.12.2001;29140;;;;0
1991;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;32117;;;;0
1992;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;31098;;;;0
1993;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;30598;;;;0
1994;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;30518;;;;0
1995;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;28404;;;;0
1996;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;28304;;;;0
1997;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;27278;;;;0
1998;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;26394;;;;0
1999;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;26884;;;;0
2000;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;24599;;;;0
2001;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;25607;;;;0
2002;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;25562;;;;0
2003;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;26749;;;;0
2004;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;27064;;;;0
2005;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;26916;;;;0
2006;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;28380;;;;0
2007;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;29439;;;;0
2008;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;30172;;;;0
2009;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;30076;;;;0
2010;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;30391;;;;0
2011;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;29680;;;;0
2012;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;30320;;;;0
2013;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;30750;;;;0
2014;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;30301;;;;0
2015;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;30564;;;;0
2016;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;29949;;;;0
2017;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;29787;;;;0
2018;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;29329;;;;0
2019;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;29310;;;;0
2020;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;27460;;;;0
2021;Canada, place of residence of mother;2016A000011124;Month of birth, December;Number of live births;Number;223;units;0;v21400560;1.13.1;27943;;;;0
